Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Capital Gains
2024-06-17 00:00:00+00:00,62256.953125,62261.421875,62208.5078125,62252.71875,172175360,0.0,0.0,BTC-EUR,
2024-06-17 00:15:00+00:00,62243.79296875,62310.6875,62194.04296875,62310.6875,47156224,0.0,0.0,BTC-EUR,
2024-06-17 00:30:00+00:00,62316.7578125,62449.73046875,62316.7578125,62364.01171875,119156736,0.0,0.0,BTC-EUR,
2024-06-17 00:45:00+00:00,62372.5625,62372.5625,62142.83203125,62162.21875,66145280,0.0,0.0,BTC-EUR,
2024-06-17 01:00:00+00:00,62164.1484375,62196.69140625,62147.1328125,62191.4296875,11350016,0.0,0.0,BTC-EUR,
2024-06-17 01:15:00+00:00,62194.4921875,62194.4921875,61953.65234375,62052.796875,295402496,0.0,0.0,BTC-EUR,
2024-06-17 01:30:00+00:00,62052.33203125,62076.75390625,61967.1796875,61967.1796875,99234816,0.0,0.0,BTC-EUR,
2024-06-17 01:45:00+00:00,61987.828125,62104.65234375,61974.56640625,62078.078125,197024768,0.0,0.0,BTC-EUR,
2024-06-17 02:00:00+00:00,62078.078125,62078.078125,61979.82421875,62017.5859375,95958016,0.0,0.0,BTC-EUR,
2024-06-17 02:15:00+00:00,62017.5859375,62036.765625,61881.82421875,61881.82421875,220660736,0.0,0.0,BTC-EUR,
2024-06-17 02:30:00+00:00,61895.58984375,61978.234375,61890.546875,61965.8125,311720960,0.0,0.0,BTC-EUR,
2024-06-17 02:45:00+00:00,61953.31640625,61993.24609375,61939.125,61949.828125,108827648,0.0,0.0,BTC-EUR,
2024-06-17 03:00:00+00:00,61942.2421875,62022.47265625,61933.609375,61995.28515625,69460992,0.0,0.0,BTC-EUR,
2024-06-17 03:15:00+00:00,61992.43359375,62011.0703125,61935.25390625,61946.3984375,139578368,0.0,0.0,BTC-EUR,
2024-06-17 03:30:00+00:00,61947.26171875,61947.26171875,61860.9609375,61934.02734375,72615936,0.0,0.0,BTC-EUR,
2024-06-17 03:45:00+00:00,61936.87890625,61969.265625,61817.59765625,61844.35546875,107917312,0.0,0.0,BTC-EUR,
2024-06-17 04:00:00+00:00,61844.62109375,61878.78125,61818.5,61866.2265625,153414656,0.0,0.0,BTC-EUR,
2024-06-17 04:15:00+00:00,61865.36328125,61952.625,61865.36328125,61943.32421875,73039872,0.0,0.0,BTC-EUR,
2024-06-17 04:30:00+00:00,61943.125,61980.17578125,61939.65625,61952.6328125,62918656,0.0,0.0,BTC-EUR,
2024-06-17 04:45:00+00:00,61956.015625,62028.12109375,61943.2421875,62028.12109375,39523328,0.0,0.0,BTC-EUR,
2024-06-17 05:00:00+00:00,62037.15234375,62089.01171875,61983.5,62085.3046875,35035136,0.0,0.0,BTC-EUR,
2024-06-17 05:15:00+00:00,62084.17578125,62126.60546875,62062.1484375,62107.4609375,78732288,0.0,0.0,BTC-EUR,
2024-06-17 05:30:00+00:00,62108.39453125,62110.1484375,62050.13671875,62050.13671875,46641152,0.0,0.0,BTC-EUR,
2024-06-17 05:45:00+00:00,62047.9453125,62047.9453125,61927.4453125,61978.5,91026432,0.0,0.0,BTC-EUR,
2024-06-17 06:00:00+00:00,61977.04296875,62052.0390625,61961.6015625,61977.6484375,93320192,0.0,0.0,BTC-EUR,
2024-06-17 06:15:00+00:00,61957.6328125,61958.34765625,61858.57421875,61958.34765625,202857472,0.0,0.0,BTC-EUR,
2024-06-17 06:30:00+00:00,61953.37890625,61953.37890625,61883.66796875,61918.19140625,74257408,0.0,0.0,BTC-EUR,
2024-06-17 06:45:00+00:00,61879.62109375,61879.62109375,61755.55078125,61774.28515625,81707008,0.0,0.0,BTC-EUR,
2024-06-17 07:00:00+00:00,61779.44140625,61837.62109375,61636.2890625,61660.609375,155462656,0.0,0.0,BTC-EUR,
2024-06-17 07:15:00+00:00,61660.54296875,61874.2265625,61644.27734375,61864.359375,245649408,0.0,0.0,BTC-EUR,
2024-06-17 07:30:00+00:00,61862.3046875,61943.78125,61823.28515625,61857.40625,209711104,0.0,0.0,BTC-EUR,
2024-06-17 07:45:00+00:00,61860.1875,61939.7734375,61827.44921875,61827.44921875,87739392,0.0,0.0,BTC-EUR,
2024-06-17 08:00:00+00:00,61835.40234375,61891.9375,61749.06640625,61881.109375,105779200,0.0,0.0,BTC-EUR,
2024-06-17 08:15:00+00:00,61879.859375,61883.62890625,61768.16015625,61768.16015625,67595264,0.0,0.0,BTC-EUR,
2024-06-17 08:30:00+00:00,61723.21484375,61773.703125,61611.15234375,61773.703125,205753344,0.0,0.0,BTC-EUR,
2024-06-17 08:45:00+00:00,61760.4140625,61852.02734375,61733.015625,61797.14453125,173245440,0.0,0.0,BTC-EUR,
2024-06-17 09:00:00+00:00,61792.47265625,61792.47265625,61692.27734375,61692.27734375,20312064,0.0,0.0,BTC-EUR,
2024-06-17 09:15:00+00:00,61693.26953125,61764.30078125,61687.515625,61764.30078125,0,0.0,0.0,BTC-EUR,
2024-06-17 09:30:00+00:00,61760.79296875,61781.87890625,61632.29296875,61632.29296875,48346112,0.0,0.0,BTC-EUR,
2024-06-17 09:45:00+00:00,61621.75390625,61621.75390625,61289.2890625,61321.36328125,410398720,0.0,0.0,BTC-EUR,
2024-06-17 10:00:00+00:00,61266.76953125,61402.765625,61266.76953125,61395.96875,424158208,0.0,0.0,BTC-EUR,
2024-06-17 10:15:00+00:00,61395.15625,61403.0390625,61244.7890625,61244.7890625,252889088,0.0,0.0,BTC-EUR,
2024-06-17 10:30:00+00:00,61279.59765625,61453.3671875,61279.59765625,61453.3671875,148412416,0.0,0.0,BTC-EUR,
2024-06-17 10:45:00+00:00,61455.01171875,61522.76953125,61436.12109375,61438.84765625,0,0.0,0.0,BTC-EUR,
2024-06-17 11:00:00+00:00,61453.078125,61574.80859375,61453.078125,61512.5390625,75679744,0.0,0.0,BTC-EUR,
2024-06-17 11:15:00+00:00,61524.07421875,61524.07421875,61447.09375,61471.5,35448832,0.0,0.0,BTC-EUR,
2024-06-17 11:30:00+00:00,61491.9609375,61491.9609375,61371.6328125,61439.29296875,68177920,0.0,0.0,BTC-EUR,
2024-06-17 11:45:00+00:00,61427.5625,61431.2890625,61390.00390625,61417.8671875,47998976,0.0,0.0,BTC-EUR,
2024-06-17 12:00:00+00:00,61404.94921875,61413.41796875,61288.1953125,61288.1953125,75350016,0.0,0.0,BTC-EUR,
2024-06-17 12:15:00+00:00,61289.046875,61358.76953125,61234.53125,61271.81640625,68253696,0.0,0.0,BTC-EUR,
2024-06-17 12:30:00+00:00,61245.390625,61290.6328125,61193.58203125,61258.73046875,98103296,0.0,0.0,BTC-EUR,
2024-06-17 12:45:00+00:00,61231.6015625,61231.6015625,61175.3046875,61175.9375,159408128,0.0,0.0,BTC-EUR,
2024-06-17 13:00:00+00:00,61179.16796875,61263.6640625,61070.98828125,61247.703125,160004096,0.0,0.0,BTC-EUR,
2024-06-17 13:15:00+00:00,61251.7734375,61309.5078125,61207.1640625,61252.01953125,182718464,0.0,0.0,BTC-EUR,
2024-06-17 13:30:00+00:00,61198.0,61198.0,60947.0234375,61031.75390625,290592768,0.0,0.0,BTC-EUR,
